,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,total_spent,geolocation_lat,geolocation_lng,spent_rate
13464,46b312cdfe6ba42f507279a1fe2362df,24220,niteroi,RJ,224.9,-22.90581654870452,-43.106988856771984,high
2126,c4063084f01f085897c04bcbd81fcb69,90520,porto alegre,RS,692.8,-30.01980485899368,-51.178789843470426,high
5159,a2ac5295548a4893bc35b60152102cdc,38402,uberlandia,MG,399.76,-18.875795091869104,-48.27553126672053,high
30982,9506818e07268772ec0e1a53aad6dc31,22753,rio de janeiro,RJ,129.9,-22.97938068457905,-43.3327651254376,high
30278,d3b2cbe73e25237ccde99c53c4d6750a,99870,sao jose do ouro,RS,129.99,-27.772125357679496,-51.59681239628196,high
12894,c458cc32e6f258ae8ac39f3d1b5a0478,85884,medianeira,PR,229.99,-25.291725444450297,-54.10023587801571,high
15089,cb7b3d5af1bfcd40c4a52520285373ec,21380,rio de janeiro,RJ,207.25,-22.884745903139223,-43.31832426351789,high
20157,c6dd22860eb241c38dac10ce91becd23,90220,porto alegre,RS,175.0,-30.02445275114225,-51.21118835646234,high
4315,52ce7a02c3e7ac2b2a215d37e485c40e,29171,serra,ES,453.96,-20.13491550197769,-40.249312142245145,high
3924,98d2fc070f4afbd02c5788eacc6949c5,40279,salvador,BA,497.0,-12.986938811558572,-38.46865713711119,high
4600,1364b4c4c60ee8721ca021ed0629ea25,4938,sao paulo,SP,435.0,-23.688754983351576,-46.761048796006655,high
26264,3d217f28b2f54d2ac1b06781cae22eea,12952,atibaia,SP,148.0,-23.14492333670709,-46.539830386938746,high
7599,421787fea291a962c1ab57a6b26827ac,11702,praia grande,SP,325.0,-24.01704140383171,-46.44291733028447,high
2653,455c17b35969ca198c17f2fc9e8eba1b,41610,salvador,BA,608.0,-12.944705411651196,-38.3619680883488,high
10786,a356a8567cf4cd5ce32a18e6e7fcabc8,15140,balsamo,SP,259.9,-20.73610517485865,-49.580691244769085,high
11375,63348c0ea1d8f74fa1186ee7a2658aa7,29230,anchieta,ES,249.99,-20.804829673444225,-40.649292,high
27690,937e27b334692fa4bcafc1d4186cf4fb,5435,sao paulo,SP,139.99,-23.55327788980902,-46.68938650124076,high
14177,b3d14bf7756b42c9fa33aa34f502c7df,38800,sao gotardo,MG,219.0,-19.31131669583315,-46.04702655279023,high
20589,4e259b39ec0e420fd5b67cbfc6291554,27965,macae,RJ,170.0,-22.32232333753648,-41.724127956136414,high
20277,133f82573448e50b2298b4c6de9e76d1,22783,rio de janeiro,RJ,174.56,-22.99280667740874,-43.44828652055829,high
12449,2ff1b818fb048c44dc6629f013cceae6,45604,itabuna,BA,237.8,-14.766503521784308,-39.2613705,high
21993,f3a8376537f05ce2c02c626b22b1d267,35519,nova serrana,MG,164.9,-19.870118049590708,-45.00569489878337,high
11550,a37fc2f55cb2f185411e5c9b7b0f0bdf,7600,mairipora,SP,249.9,-23.323581622627877,-46.571516434161296,high
7363,7af87661a92c6dd8347715433698be80,22760,rio de janeiro,RJ,329.9,-22.94491421371684,-43.34638345749923,high
12301,b7ef1a0059d43c0dda7ccd863633560e,45651,ilheus,BA,239.0,-14.789000770292926,-39.04466706181576,high
249,d61c923fff01b0e448672a2159ed5757,38412,uberlandia,MG,1799.0,-18.947539791563276,-48.29208537829649,high
14352,095522f142e4c77851d1d6e70c09d892,8151,sao paulo,SP,216.0,-23.521336581735813,-46.40723954860383,high
9690,5ba477d7c86256dbb02331d06dc79e03,86185,cambe,PR,279.9,-23.29043487010217,-51.23807993158865,high
19345,814d12af84beb46ade17b81e5a01a38c,20211,rio de janeiro,RJ,179.8,-22.91048789550255,-43.20189495797273,high
4647,b94205142c3fe115e026b537556c750f,47850,luis eduardo magalhaes,BA,429.9,-12.08678562555841,-45.79992414323213,high
10727,903c88e94d60602827df5cbdd8b2c60f,18950,ipaussu,SP,259.9,-23.05035208242116,-49.62755542394423,high
27262,fde3e12f9fc7b5df5946a9c8256afe61,12220,sao jose dos campos,SP,142.47,-23.17818323342369,-45.85784163765943,high
25442,fc383769c0df1f6630d2571b32e2b2df,44400,nazare,BA,149.9,-13.024739772234735,-39.03807364945823,high
18383,d69dbf84baa61962fbfdbc989121df61,4048,sao paulo,SP,184.99,-23.80422978783696,-46.63202099851917,high
27626,0918f0b299855c65048a0f0b1adb5f8d,95580,tres cachoeiras,RS,139.99,-29.450754679883755,-49.916855771064725,high
19890,7854f7970842e131840acc349fa20d0e,88062,florianopolis,SC,178.0,-27.625926604766622,-48.48014656036129,high
7774,632047ed3e9ff272398913dbe8183492,11454,guaruja,SP,320.0,-23.94045703052688,-46.28580088343238,high
14856,1873bb3e11dbfd63861869b212e0c7b8,4273,sao paulo,SP,209.9,-23.612052666446743,-46.60783466642034,high
31511,a2643467d478699be6b4aa38f004e1d1,89511,cacador,SC,129.0,-26.792626888633624,-50.98625622113231,high
28948,58161046e45e93cc8a30db711d553266,11065,santos,SP,138.0,-23.9678895545329,-46.34412123980033,high
17226,0ac6c084c9623a0e2ace60297ad24d6c,35300,caratinga,MG,193.8,-19.79022694508355,-42.14210229958086,high
32292,47f17fe9db875f5bbaa70cf314b9810c,89600,joacaba,SC,125.0,-27.16882094342798,-51.51882419291629,high
23369,250b54f7aa491c79f6c93b9b26d26c25,29215,guarapari,ES,158.4,-20.66407474431292,-40.49773392386556,high
22894,c8330933899939c96a4f2632b9f4c8ce,5133,sao paulo,SP,159.9,-23.48911979156327,-46.74154474340702,high
10083,f34d0bbee4bd3a113e3ea6a290277270,1327,sao paulo,SP,270.0,-23.56521929669917,-46.6451517253736,high
5705,0efff5593b0b88b5010c3955f970a7bc,18031,sorocaba,SP,380.0,-23.514805626303925,-47.46355489723096,high
5418,15eb6c5aa4aa23cbdb42e119220d23ec,79830,dourados,MS,391.0,-22.22160827111832,-54.794868303316456,high
7697,b8baa482e2e3b439ab972fba47c9be48,12080,taubate,SP,324.0,-23.014906457628143,-45.55074777537135,high
5493,5e43c9625b6743d2f97f99b4bf64d123,22230,rio de janeiro,RJ,389.0,-22.93781597002137,-43.17619884430715,high
13014,c8ae3e40b261b27bd678915f4b964d69,59056,natal,RN,229.9,-5.816017430456123,-35.203077730253355,high
28829,29a81bb949f3b3e256d561132d4a21ba,3133,sao paulo,SP,138.0,-23.596805324652923,-46.5772172155577,high
11812,050f9cf69723c91054d44c3b3a1e7ac2,80050,curitiba,PR,247.88,-25.439106561486454,-49.23689875714125,high
9311,5b0f12d8d5ec19486e61a20d96582044,90130,porto alegre,RS,289.0,-30.058735578683137,-51.22157241147777,high
780,5193199e9fa14917b155ca22087f1ca0,12515,guaratingueta,SP,1149.65,-22.8102557858096,-45.18353140514958,high
2192,ecf191d9e1cfa4d03cb300297efae837,4752,sao paulo,SP,689.0,-23.653995233971955,-46.713496892867454,high
32000,b81bc44c4da3f95ddfc71773b8e922b4,22011,rio de janeiro,RJ,126.99,-22.962511351924544,-43.17640771510184,high
11309,d94dab26e089829c1fa1a9fbbe18e1b8,24812,itaborai,RJ,250.0,-22.74543440809399,-42.87565777480636,high
1141,f8f338d24407d8c6da17ada8bf6eb613,6290,osasco,SP,948.9,-23.5186892031566,-46.77405856691081,high
6283,310196abfa8b801362582df6b1c28030,13084,campinas,SP,359.9,-22.81905949374732,-47.09337872045235,high
14754,e7647b89106d66c778cc87ff7632fbfb,22070,rio de janeiro,RJ,209.99,-22.984241961423034,-43.19056825090884,high
21961,6028c86d2020ce92bdc75b3c6ab04769,22230,rio de janeiro,RJ,164.99,-22.93781597002137,-43.17619884430715,high
12874,e93171b16dd12e9618c52339f75bfc79,22713,rio de janeiro,RJ,229.99,-22.930927083992938,-43.3849856514328,high
