,spent_rate,customer_state,customer_city,customer_count,total_spent,customer_count_percent,total_spent_percent
0,high,SP,sao paulo,4476,971150.61,4.7045468878098005,8.8761325427095
1,high,RJ,rio de janeiro,2405,522570.92,2.527800550755712,4.776199181799045
2,med,SP,sao paulo,4859,426314.4,5.107103066994598,3.8964328295748856
3,med,RJ,rio de janeiro,2161,190437.24,2.271341783859915,1.740560285811672
4,low,SP,sao paulo,5509,187077.51,5.790292405036682,1.709852990279296
5,high,MG,belo horizonte,864,185738.09,0.9081162893359399,1.6976109452989032
6,high,DF,brasilia,659,143380.82,0.6926488827226671,1.3104735241862984
7,high,PR,curitiba,490,108001.92,0.5150196548317252,0.9871170824750943
8,high,RS,porto alegre,462,102654.20999999999,0.48558996026991236,0.9382400264642115
9,high,SP,campinas,446,98414.73,0.46877299194887645,0.8994919826441431
10,high,BA,salvador,423,94329.36,0.44459859998738727,0.8621524750202855
11,med,MG,belo horizonte,930,82144.49,0.9774862836602132,0.7507850722487579
12,high,SP,guarulhos,360,77062.16,0.37838178722330834,0.7043335391484608
13,low,RJ,rio de janeiro,2004,70299.75,2.1063252822097493,0.6425263932227179
14,high,RJ,niteroi,293,61378.27,0.30796073237897037,0.5609857566399616
15,med,DF,brasilia,630,56496.74,0.6621681276407896,0.5163694974881369
16,high,SP,sao bernardo do campo,268,54356.45,0.2816842193773518,0.49680765247232034
17,high,CE,fortaleza,226,53708.32,0.23753967753463245,0.4908838670927217
18,high,GO,goiania,232,52282.85,0.2438460406550209,0.4778553414187728
19,high,SP,santos,226,49185.02,0.23753967753463245,0.44954176225644105
20,high,SP,santo andre,233,48822.3,0.24489710117508567,0.4462265701917503
21,high,PE,recife,208,46415.56,0.21862058817346702,0.4242294226681127
22,high,SP,osasco,209,44272.95,0.21967164869353176,0.4046463732919352
23,high,SP,sao jose dos campos,207,43671.18,0.21756952765340226,0.3991463095271333
24,high,SC,florianopolis,189,43373.5,0.19865043829223689,0.396425570737386
25,high,PA,belem,187,43314.47,0.1965483172521074,0.39588604772354974
26,med,PR,curitiba,480,42024.13,0.5045090496310778,0.38409258464251456
27,med,RS,porto alegre,462,40958.31,0.48558996026991236,0.3743511918150203
28,high,SP,sorocaba,191,40535.39,0.20075255933236635,0.3704857831582079
29,high,SP,jundiai,183,40018.61,0.1923440751718484,0.3657625118878316
